ZIP,STATE,CITY,COUNTY,POPULATION
27406,North Carolina,Greensboro,Guilford County,"60,651"
33578,Florida,Riverview,Hillsborough County,"60,651"
976,Puerto Rico,Trujillo Alto,Trujillo Alto Municipio,"60,620"
34746,Florida,Kissimmee,Osceola County,"60,595"
92801,California,Anaheim,Orange County,"60,547"
28227,North Carolina,Charlotte,Mecklenburg County,"60,482"
60628,Illinois,Chicago,Cook County,"60,431"
30906,Georgia,Augusta,Richmond County,"60,423"
92627,California,Costa Mesa,Orange County,"60,393"
79924,Texas,El Paso,El Paso County,"60,364"
76137,Texas,Fort Worth,Tarrant County,"60,352"
90022,California,Los Angeles,Los Angeles County,"60,343"
90660,California,Pico Rivera,Los Angeles County,"60,272"
